 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction, balances, Lagrangian Module, particle displacement
      67,  9.9671889e+00,  0.0000000e+00,  0.0000000e+00,  1.6523563e-01,  2.2652014e+00,  3.7793089e+00,  2.9995476e+00,  5.7990745e-01,  5.3351192e-02
      68,  9.9639790e+00,  0.0000000e+00,  0.0000000e+00,  1.6509570e-01,  2.2643731e+00,  3.7855504e+00,  2.9991564e+00,  5.7954994e-01,  6.9893643e-02
      69,  9.9616974e+00,  0.0000000e+00,  0.0000000e+00,  1.6526413e-01,  2.2689117e+00,  3.7525905e+00,  2.9851515e+00,  5.8067818e-01,  5.8553256e-02
      70,  4.0163934e+01,  0.0000000e+00,  0.0000000e+00,  3.0362674e+01,  2.2649193e+00,  3.7915412e+00,  2.9986507e+00,  5.8019465e-01,  5.7450631e-02
      71,  9.9766896e+00,  0.0000000e+00,  0.0000000e+00,  1.6526463e-01,  2.2667035e+00,  3.7719984e+00,  2.9976272e+00,  5.7881187e-01,  7.5858584e-02
      72,  9.9685982e+00,  0.0000000e+00,  0.0000000e+00,  1.6525560e-01,  2.2707453e+00,  3.7771974e+00,  2.9977238e+00,  5.8097069e-01,  7.7261013e-02
      73,  9.9677688e+00,  0.0000000e+00,  0.0000000e+00,  1.6548573e-01,  2.2693987e+00,  3.7585648e+00,  3.0015072e+00,  5.8006551e-01,  7.8108167e-02
      74,  9.9614354e+00,  0.0000000e+00,  0.0000000e+00,  1.6482794e-01,  2.2661667e+00,  3.7631870e+00,  2.9871511e+00,  5.8053780e-01,  5.7708670e-02
      75,  6.0916435e+02,  0.0000000e+00,  5.9917778e+02,  1.8308050e-01,  2.2701390e+00,  3.7856809e+00,  2.9984350e+00,  5.7956948e-01,  6.1555222e-02
      76,  1.0021538e+01,  0.0000000e+00,  0.0000000e+00,  1.6543695e-01,  2.2681134e+00,  3.7658417e+00,  3.0265784e+00,  5.8334889e-01,  7.1499779e-02
      77,  9.9715495e+00,  0.0000000e+00,  0.0000000e+00,  1.6515053e-01,  2.2676129e+00,  3.7619814e+00,  3.0288691e+00,  5.8118415e-01,  6.1513879e-02
      78,  9.9744203e+00,  0.0000000e+00,  0.0000000e+00,  1.6554811e-01,  2.2694751e+00,  3.7754248e+00,  2.9989587e+00,  5.8078484e-01,  7.6944948e-02
      79,  9.9751156e+00,  0.0000000e+00,  0.0000000e+00,  1.6498971e-01,  2.2692748e+00,  3.7599534e+00,  2.9962713e+00,  5.8174521e-01,  6.7704181e-02
      80,  4.0590848e+01,  0.0000000e+00,  0.0000000e+00,  3.0710096e+01,  2.3521867e+00,  3.7639155e+00,  2.9962042e+00,  5.8358161e-01,  6.8468210e-02
      81,  1.0051031e+01,  0.0000000e+00,  0.0000000e+00,  1.6549345e-01,  2.3535550e+00,  3.7830731e+00,  2.9810669e+00,  5.8277056e-01,  6.3045723e-02
      82,  1.0040461e+01,  0.0000000e+00,  0.0000000e+00,  1.6499080e-01,  2.3525958e+00,  3.7985235e+00,  2.9825938e+00,  5.8385740e-01,  6.2739198e-02
      83,  1.0059675e+01,  0.0000000e+00,  0.0000000e+00,  1.6499793e-01,  2.3573004e+00,  3.8005914e+00,  2.9964782e+00,  5.8449520e-01,  6.2989324e-02
      84,  1.0062091e+01,  0.0000000e+00,  0.0000000e+00,  1.6529825e-01,  2.3582083e+00,  3.7675864e+00,  3.0012422e+00,  5.8597835e-01,  7.6237015e-02
      85,  1.0058380e+01,  0.0000000e+00,  0.0000000e+00,  1.6524830e-01,  2.3558386e+00,  3.7945059e+00,  3.0075988e+00,  5.8584216e-01,  6.6035100e-02
      86,  1.0603637e+01,  0.0000000e+00,  0.0000000e+00,  1.6530378e-01,  2.4445395e+00,  4.0228391e+00,  3.3669176e+00,  5.8590070e-01,  6.1321002e-02
      87,  1.0603950e+01,  0.0000000e+00,  0.0000000e+00,  1.6542947e-01,  2.4463292e+00,  4.0055404e+00,  3.3722975e+00,  5.8620709e-01,  5.6676916e-02
      88,  1.0598016e+01,  0.0000000e+00,  0.0000000e+00,  1.6526689e-01,  2.4430031e+00,  3.9900294e+00,  3.3686788e+00,  5.8730394e-01,  6.2683604e-02
      89,  1.0597767e+01,  0.0000000e+00,  0.0000000e+00,  1.6524134e-01,  2.4467959e+00,  3.9933068e+00,  3.3502586e+00,  5.8776886e-01,  6.9547567e-02
      90,  4.0964360e+01,  0.0000000e+00,  0.0000000e+00,  3.0539794e+01,  2.4403146e+00,  3.9769964e+00,  3.3593048e+00,  5.8937761e-01,  6.6187847e-02
      91,  1.0603716e+01,  0.0000000e+00,  0.0000000e+00,  1.6544674e-01,  2.4478843e+00,  3.9886563e+00,  3.3528177e+00,  5.8933231e-01,  6.4547505e-02
      92,  1.0595489e+01,  0.0000000e+00,  0.0000000e+00,  1.6527565e-01,  2.4420297e+00,  4.0032410e+00,  3.3552191e+00,  5.9001532e-01,  6.0446181e-02
      93,  1.0588990e+01,  0.0000000e+00,  0.0000000e+00,  1.6534057e-01,  2.4406181e+00,  3.9716429e+00,  3.3618051e+00,  5.9172534e-01,  7.7082979e-02
      94,  1.0588991e+01,  0.0000000e+00,  0.0000000e+00,  1.6541594e-01,  2.4375783e+00,  4.0177312e+00,  3.3468334e+00,  5.9066087e-01,  7.9319321e-02
      95,  1.0603281e+01,  0.0000000e+00,  0.0000000e+00,  1.6539375e-01,  2.4463282e+00,  3.9957277e+00,  3.3686403e+00,  5.9314898e-01,  7.7268523e-02
      96,  1.0595500e+01,  0.0000000e+00,  0.0000000e+00,  1.6476807e-01,  2.4369790e+00,  3.9823018e+00,  3.3613573e+00,  5.9316740e-01,  7.1844711e-02
      97,  1.0691686e+01,  0.0000000e+00,  0.0000000e+00,  1.6487902e-01,  2.5386520e+00,  4.0088058e+00,  3.3545568e+00,  5.9330369e-01,  6.8058236e-02
      98,  1.0703553e+01,  0.0000000e+00,  0.0000000e+00,  1.6531436e-01,  2.5328521e+00,  3.9988011e+00,  3.3714417e+00,  5.9482944e-01,  8.1517273e-02
      99,  1.0613347e+01,  0.0000000e+00,  0.0000000e+00,  1.6518494e-01,  2.4475692e+00,  3.9931906e+00,  3.3752459e+00,  5.9462962e-01,  8.4468852e-02
     100,  1.4363215e+03,  0.0000000e+00,  5.9958727e+02,  8.2619474e+02,  2.5279984e+00,  4.1531894e+00,  3.3676988e+00,  5.9540627e-01,  8.4896335e-02
